	DURATION	NEW_CAR	USED_CAR	FURNITURE	RADIO_TV	EDUCATION	RETRAINING	AMOUNT	INSTALL_RATE	MALE_DIV	MALE_SINGLE	MALE_MAR_or_WID	CO-APPLICANT	GUARANTOR	REAL_ESTATE	PROP_UNKN_NONE	OTHER_INSTALL	RENT	OWN_RES	NUM_CREDITS	NUM_DEPENDENTS	TELEPHONE	FOREIGN	RESPONSE	CHK_ACCT_0	CHK_ACCT_1	CHK_ACCT_3	HISTORY_1	HISTORY_2	HISTORY_3	HISTORY_4	SAV_ACCT_0	SAV_ACCT_1	SAV_ACCT_2	SAV_ACCT_4	EMPLOYMENT_1	EMPLOYMENT_2	EMPLOYMENT_3	EMPLOYMENT_4	PRESENT_RESIDENT_2	PRESENT_RESIDENT_3	PRESENT_RESIDENT_4	AGE_20-30	AGE_30-40	AGE_40-50	JOB_1	JOB_2	JOB_3
89	12	0	0	0	0	0	0	1108	4	0	1	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0
90	12	0	0	0	1	0	0	618	4	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
91	12	0	1	0	0	0	0	1409	4	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
92	12	0	0	0	1	0	0	797	4	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0
93	24	0	0	1	0	0	0	3617	4	0	1	0	1	0	0	1	0	1	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0
94	12	1	0	0	0	0	0	1318	4	0	1	0	0	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
95	54	0	0	0	0	0	1	15945	3	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
96	12	0	0	0	0	1	0	2012	4	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0
97	18	0	0	0	0	0	1	2622	4	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0
98	36	0	0	0	1	0	0	2337	4	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0
99	20	0	1	0	0	0	0	7057	3	0	1	0	0	0	0	0	1	1	0	2	2	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1
100	24	1	0	0	0	0	0	1469	4	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0
101	36	0	0	0	1	0	0	2323	4	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0
102	6	0	0	0	1	0	0	932	3	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
103	9	0	0	1	0	0	0	1919	4	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0
104	12	0	1	0	0	0	0	2445	2	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0
105	24	0	0	0	0	0	0	11938	2	0	1	0	1	0	0	0	0	0	1	2	2	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1
106	18	1	0	0	0	0	0	6458	2	0	1	0	0	0	0	1	1	0	1	2	2	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1
107	12	1	0	0	0	0	0	6078	2	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0
108	24	0	0	1	0	0	0	7721	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0
109	14	0	0	0	0	0	1	1410	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0
110	6	0	0	0	0	0	1	1449	1	1	0	0	0	0	0	0	1	0	1	2	2	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0
111	15	0	0	0	0	1	0	392	4	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0
112	18	1	0	0	0	0	0	6260	3	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0
113	36	1	0	0	0	0	0	7855	4	0	0	0	0	0	1	0	1	0	1	2	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
114	12	0	0	0	1	0	0	1680	3	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0
115	48	0	0	0	1	0	0	3578	4	0	1	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0
116	42	0	0	0	1	0	0	7174	4	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1
117	10	0	0	1	0	0	0	2132	2	0	0	0	1	0	1	0	0	1	0	2	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0
118	33	0	0	1	0	0	0	4281	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0
119	12	1	0	0	0	0	0	2366	3	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1
120	21	0	0	0	1	0	0	1835	3	0	0	0	0	0	1	0	0	0	1	2	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
121	24	0	1	0	0	0	0	3868	4	0	0	0	0	0	0	0	0	1	0	2	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1
122	12	0	0	1	0	0	0	1768	3	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0
123	10	1	0	0	0	0	0	781	4	0	1	0	0	0	0	1	0	0	0	2	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
124	18	0	0	1	0	0	0	1924	4	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0
125	12	1	0	0	0	0	0	2121	4	0	1	0	0	0	0	0	0	0	1	2	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
126	12	0	0	0	1	0	0	701	4	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0
127	12	0	0	0	0	0	0	639	4	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
128	12	0	1	0	0	0	0	1860	4	0	1	0	0	0	0	0	0	0	1	2	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
129	12	1	0	0	0	0	0	3499	3	0	0	0	1	0	1	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
130	48	1	0	0	0	0	0	8487	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0
131	36	0	0	0	0	1	0	6887	4	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0
